manufacturer,mpn,part_label,category,kind,observed_property,actuatable_property,feature_of_interest,vcc_min,vcc_max,logic_level,i_active_mA,i_idle_uA,iface,i2c_addr_default,i2c_addr_range,spi_max_mhz,uart_baud,sample_rate_max_hz,latency_ms,accuracy_pct,range_min,range_max,units,datasheet_url,product_url,offer_price,currency,lifecycle,notes,package_case,pin_count,temp_min_c,temp_max_c,clock_mhz
Bantum Works fix: f.althaus,nan,"DRV 8825 Stepper Motor Carrier, High Current",actuator,motor_stepper,,angular_position,linear_axis,12.0,24.0,,,,DRIVEN_BY_DRIVER,,,,,,,,,,,,https://www.pololu.com/product/2133,,,,imported_from_fritzing,,,,,
Revolution Education Ltd,nan,DS1307,sensor,rtc,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,DS1307,sensor,rtc,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
"John De Cristofaro for Adafruit Industries, fixed by f.althaus",nan,DS18B20 1-Wire Temperature Sensor,sensor,temperature,temperature,,liquid,3.0,5.5,,,,OneWire,,,,,,,,-55.0,125.0,degC,,http://www.maxim-ic.com/datasheet/index.mvp/id/2812,,,,imported_from_fritzing,,,,,
Generic,L298N,Dual H-Bridge Motor Driver (L298N),actuator,motor_driver,,motor_velocity,dc_motor,5.0,35.0,,2000.0,,GPIO|PWM,,,,,,,,,,,,https://a.co/d/7hzdG2m,,,,,,,,,
David Thomasson,nan,Dual VNH2SP30 Motor Driver,actuator,motor_driver,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Kubax,nan,DUO LED RG,actuator,led,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,EasyDriver_v44,actuator,motor_driver,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10267,,,,imported_from_fritzing,,,,,
Brett Walach & Julien Vanier; fix: f.althaus,nan,Electron,controller,particle,,,,,,,,,,,,,,,,,,,,,https://www.particle.io,,,,imported_from_fritzing,,,,,
ELEGOO,ESP-WROOM-32,ELEGOO ESP-WROOM-32 (Bluetooth),controller,esp32,,,embedded_platform,3.3,3.3,,,,,I2C|SPI|UART|ADC|GPIO,,,,,,,,,,,,3.7843,USD,ESP32 dev board,,,,,,
www.fritzing.org,nan,EM406 GPS Connector,sensor,gps,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ENCODER_2LED,actuator,led,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
ENS+ASAIR,ENS160+AHT21,ENS160 eCO2/TVOC + AHT21 Temp/Humidity,sensor,environment_multi,eCO2|TVOC|temperature|humidity,,room_air,3.3,5.0,,,,,I2C,,,,,,,,,,,,https://a.co/d/hXQ6jwH,,,,,,,,
SparkFun,nan,E-Paper Eval Board,actuator,display_epaper,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/10304,,,,imported_from_fritzing,,,,,
YDonnelly fixed f.althaus,nan,ESP8266 WiFi Module,controller,esp8266,,,,2.5,3.6,3.3,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://www.esp8266.com,,,,imported_from_fritzing,,,,,
YDonnelly; Geert Roumen; greg-ware; Simone Picchioni + fix:f.althaus,nan,ESP8266 WiFi Module,controller,esp8266,,,,2.5,3.6,3.3,,,UART|I2C|SPI|ADC|GPIO,,,,,,,,,,,,http://www.esp8266.com,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,ET312 GPS Receiver,sensor,gps,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
f.althaus,nan,FemtoBuck LED Driver,actuator,led,,,,,,,,,,,,,,,,,,,,,https://www.sparkfun.com/products/12937,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,GAS_SENSOR,sensor,sensor,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,Gas Sensor Breakout Board,sensor,sensor,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8891,,,,imported_from_fritzing,,,,,
DKARDU,nan,Gas Sensor Module,sensor,gas_smoke,smoke,,room_air,5.0,5.0,,,,,ADC,,,,,,,,,,,,,,,Returns integer 0–360; threshold ~70,,,,,
www.fritzing.org,nan,GE863 Cellular Module with GPS,sensor,gps,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,GM862 Cellular Module with GPS,sensor,gps,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,GPS-09838,sensor,gps,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,GPS Antenna Amp,sensor,gps,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,GR-10 GPS Receiver Module,sensor,gps,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,Graphical LCD 128x64,actuator,display_lcd,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Yihui Xiong,nan,Grove 3 Axis Digital Accelerometer 16g,sensor,accelerometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Yihui Xiong,nan,Grove Light Sensor,sensor,light,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Yihui Xiong,nan,Grove OLED 128x96,actuator,display_oled,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Yihui Xiong,nan,Grove Temperature Sensor,sensor,sensor,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Dirk van Oosterbosch,nan,H-Bridge,actuator,motor_driver,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Ricky Ng-Adam fixed by FA,nan,hc-sr04,sensor,distance,distance,,obstacle_proximity,4.5,5.5,5.0,,,GPIO_TRIGGER_ECHO,,,,,,,,2.0,400.0,cm,,,,,,imported_from_fritzing,,,,,
Richard Bruneau,nan,HC-SR04 Ultrasonic Distance Sensor,sensor,distance,distance,,obstacle_proximity,4.5,5.5,5.0,,,GPIO_TRIGGER_ECHO,,,,,,,,2.0,400.0,cm,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HEX_CONVERTER,power,regulator,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HIH-4030,sensor,temp_humidity,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HMC1041Z,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HMC1051Z,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HMC1052L,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HMC5843,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HMC5883L,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HMC6042,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HMC6343,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
www.fritzing.org,nan,HMC6352,sensor,magnetometer,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
Martha Maldonado,nan,Humidity and Temperature Sensor RHT03,sensor,sensor,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
SparkFun,nan,Humidity Sensor - HIH-4030 Breakout,sensor,sensor,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/9569,,,,imported_from_fritzing,,,,,
wreutz,nan,Humidity Temperature Sensor SHT15,sensor,sensor,,,,,,,,,,,,,,,,,,,,,http://www.sparkfun.com/products/8257,,,,imported_from_fritzing,,,,,
Richard Bruneau fixed: f.althaus,nan,HX711 Weighing Sensor Module,sensor,generic,,,,,,,,,,,,,,,,,,,,,,,,,imported_from_fritzing,,,,,
